Date	djia	Time	djia_lag
8/16/96	5689.45	165	5665.78
8/19/96	5699.44	166	5689.45
8/20/96	5721.26	167	5699.44
8/21/96	5689.82	168	5721.26
8/22/96	5733.47	169	5689.82
8/23/96	5722.74	170	5733.47
8/26/96	5693.89	171	5722.74
8/27/96	5711.27	172	5693.89
8/28/96	5712.38	173	5711.27
8/29/96	5647.65	174	5712.38
8/30/96	5616.21	175	5647.65
9/2/96	5616.21	176	5616.21
9/3/96	5648.39	177	5616.21
9/4/96	5656.9	178	5648.39
9/5/96	5606.96	179	5656.9
9/6/96	5659.86	180	5606.96
9/9/96	5733.84	181	5659.86
9/10/96	5727.18	182	5733.84
9/11/96	5754.92	183	5727.18
9/12/96	5771.94	184	5754.92
9/13/96	5838.52	185	5771.94
9/16/96	5889.2	186	5838.52
9/17/96	5888.83	187	5889.2
9/18/96	5877.36	188	5888.83
9/19/96	5867.74	189	5877.36
9/20/96	5888.46	190	5867.74
9/23/96	5894.74	191	5888.46
9/24/96	5874.03	192	5894.74
9/25/96	5877.36	193	5874.03
9/26/96	5868.85	194	5877.36
9/27/96	5872.92	195	5868.85
9/30/96	5882.17	196	5872.92
10/1/96	5904.9	197	5882.17
10/2/96	5933.97	198	5904.9
10/3/96	5932.85	199	5933.97
10/4/96	5992.86	200	5932.85
10/7/96	5979.81	201	5992.86
10/8/96	5966.77	202	5979.81
10/9/96	5930.62	203	5966.77
10/10/96	5921.67	204	5930.62
10/11/96	5969.38	205	5921.67
10/14/96	6010	206	5969.38
10/15/96	6004.78	207	6010
10/16/96	6020.81	208	6004.78
10/17/96	6059.2	209	6020.81
10/18/96	6094.23	210	6059.2
10/21/96	6090.87	211	6094.23
10/22/96	6061.8	212	6090.87
10/23/96	6036.46	213	6061.8
10/24/96	5992.48	214	6036.46
10/25/96	6007.02	215	5992.48
10/28/96	5972.73	216	6007.02
10/29/96	6007.02	217	5972.73
10/30/96	5993.23	218	6007.02
10/31/96	6029.38	219	5993.23
11/1/96	6021.93	220	6029.38
11/4/96	6041.68	221	6021.93
11/5/96	6081.18	222	6041.68
11/6/96	6177.71	223	6081.18
11/7/96	6206.04	224	6177.71
11/8/96	6219.82	225	6206.04
11/11/96	6255.6	226	6219.82
11/12/96	6266.04	227	6255.6
11/13/96	6274.24	228	6266.04
11/14/96	6313	229	6274.24
11/15/96	6348.03	230	6313
11/18/96	6346.91	231	6348.03
11/19/96	6397.6	232	6346.91
11/20/96	6430.02	233	6397.6
11/21/96	6418.47	234	6430.02
11/22/96	6471.76	235	6418.47
11/25/96	6547.79	236	6471.76
11/26/96	6528.41	237	6547.79
11/27/96	6499.34	238	6528.41
11/28/96	6499.34	239	6499.34
11/29/96	6521.7	240	6499.34
12/2/96	6521.7	241	6521.7
12/3/96	6442.69	242	6521.7
12/4/96	6422.94	243	6442.69
12/5/96	6437.1	244	6422.94
12/6/96	6381.94	245	6437.1
12/9/96	6463.94	246	6381.94
12/10/96	6473.25	247	6463.94
12/11/96	6402.52	248	6473.25
12/12/96	6303.71	249	6402.52
12/13/96	6304.87	250	6303.71
12/16/96	6268.35	251	6304.87
12/17/96	6308.33	252	6268.35
12/18/96	6346.77	253	6308.33
12/19/96	6473.64	254	6346.77
12/20/96	6484.4	255	6473.64
12/23/96	6489.02	256	6484.4
12/24/96	6522.85	257	6489.02
12/25/96	6522.85	258	6522.85
12/26/96	6546.68	259	6522.85
12/27/96	6560.91	260	6546.68
12/30/96	6549.37	261	6560.91
12/31/96	6448.27	262	6549.37
			6448.27
